fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
TRYM,DNO Norge AS,Producing,3/7-4,23.01.1990,North sea,PRODUCTION LICENSE,147,,21988,18081500,1467,29468270,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=18081500,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18081500,02.01.2024,02.01.2024,22.03.2024
TUNE,Equinor Energy AS,Producing,30/8-1 S,01.03.1995,North sea,PRODUCTION LICENSE,190,Mongstad,22332,853376,2430,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=853376,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=853376,02.01.2024,02.01.2024,22.03.2024
TYRIHANS,Equinor Energy AS,Producing,6407/1-2,15.05.1983,Norwegian sea,BUSINESS ARRANGEMENT AREA,TYRIHANS UNIT,Kristiansund,3488806,3960848,61,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=3960848,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3960848,02.01.2024,01.03.2024,22.03.2024
TYRVING,Aker BP ASA,Approved for production,25/4-2,06.12.1973,North sea,BUSINESS ARRANGEMENT AREA,TYRVING UNIT,,40662362,42002471,360,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002471,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002471,02.01.2024,18.01.2024,22.03.2024
ULA,Aker BP ASA,Producing,7/12-2,23.09.1976,North sea,PRODUCTION LICENSE,019,Tananger,20916,43800,295,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43800,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43800,02.01.2024,01.03.2024,22.03.2024
URD,Equinor Energy AS,Producing,6608/10-6,14.05.2000,Norwegian sea,PRODUCTION LICENSE,128,Sandnessjøen,21836,2834734,3260,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=2834734,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2834734,02.01.2024,02.01.2024,22.03.2024
UTGARD,Equinor Energy AS,Producing,15/8-1,07.01.1982,North sea,BUSINESS ARRANGEMENT AREA,UTGARD UNIT,,28975129,28975098,321,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=28975098,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=28975098,02.01.2024,01.02.2024,22.03.2024
VALE,,Shut down,25/4-6 S,24.08.1991,North sea,,,,,1578893,1703,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1578893,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1578893,30.01.2024,30.01.2024,22.03.2024
VALEMON,Equinor Energy AS,Producing,34/10-23,13.10.1985,North sea,BUSINESS ARRANGEMENT AREA,VALEMON UNIT,Mongstad,18403644,20460969,476,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=20460969,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=20460969,02.01.2024,01.03.2024,22.03.2024
VALHALL,Aker BP ASA,Producing,2/8-6,30.06.1975,North sea,BUSINESS ARRANGEMENT AREA,VALHALL UNIT,Tananger,41657,43548,276,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43548,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43548,02.01.2024,01.03.2024,22.03.2024
VARG,,Shut down,15/12-4,31.10.1984,North sea,,,Tananger,,43451,438,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43451,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43451,02.01.2024,02.01.2024,22.03.2024
VEGA,Wintershall Dea Norge AS,Producing,35/8-1,24.01.1981,North sea,BUSINESS ARRANGEMENT AREA,VEGA UNIT,Florø,20459640,4467595,205,35318843,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4467595,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467595,02.01.2024,01.03.2024,22.03.2024
VERDANDE,Equinor Energy AS,Approved for production,6608/10-17 S,31.01.2017,Norwegian sea,BUSINESS ARRANGEMENT AREA,VERDANDE UNIT,,41319878,42002481,8065,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002481,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002481,02.01.2024,02.01.2024,22.03.2024
VESLEFRIKK,Equinor Energy AS,Shut down,30/3-2 R,16.02.1981,North sea,PRODUCTION LICENSE,052,Mongstad,21212,43618,508,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43618,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43618,02.01.2024,01.03.2024,22.03.2024
VEST EKOFISK,ConocoPhillips Skandinavia AS,Shut down,2/4-6,10.12.1970,North sea,PRODUCTION LICENSE,018,,20900,43513,181,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43513,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43513,02.01.2024,02.01.2024,22.03.2024
VIGDIS,Equinor Energy AS,Producing,34/7-8,11.04.1986,North sea,PRODUCTION LICENSE,089,Florø,21516,43732,878,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43732,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43732,02.01.2024,02.01.2024,22.03.2024
VILJE,Aker BP ASA,Producing,25/4-9 S,29.09.2003,North sea,PRODUCTION LICENSE,036 D,,5081703,3392471,4278,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=3392471,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3392471,02.01.2024,02.01.2024,22.03.2024
VISUND,Equinor Energy AS,Producing,34/8-1,08.03.1986,North sea,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,Florø,40726,43745,854,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43745,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43745,02.01.2024,02.01.2024,22.03.2024
VISUND SØR,Equinor Energy AS,Producing,34/8-14 S,21.10.2008,North sea,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,Mongstad,40726,20461008,5943,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=20461008,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=20461008,02.01.2024,02.01.2024,22.03.2024
VOLUND,Aker BP ASA,Producing,24/9-5,26.01.1994,North sea,PRODUCTION LICENSE,150,,22012,4380167,2244,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4380167,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4380167,02.01.2024,02.01.2024,22.03.2024
VOLVE,Aker BP ASA,Shut down,15/9-19 SR,29.04.1993,North sea,PRODUCTION LICENSE,1092,Dusavik,37817871,3420717,2105,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=3420717,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3420717,02.01.2024,01.02.2024,22.03.2024
YME,Repsol Norge AS,Producing,9/2-1,28.04.1987,North sea,PRODUCTION LICENSE,316,,2786469,43807,1038,27052812,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43807,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43807,02.01.2024,02.01.2024,22.03.2024
YTTERGRYTA,Equinor Energy AS,Shut down,6507/11-8,03.07.2007,Norwegian sea,PRODUCTION LICENSE,062,,21292,4973114,5562,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4973114,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4973114,02.01.2024,02.01.2024,22.03.2024
ÆRFUGL NORD,Aker BP ASA,Producing,6507/3-9 S,15.07.2012,Norwegian sea,PRODUCTION LICENSE,212 E,Sandnessjøen,4966902,38542241,6951,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=38542241,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=38542241,02.01.2024,02.01.2024,22.03.2024
ØRN,Aker BP ASA,Approved for production,6507/2-5 S,14.09.2019,Norwegian sea,PRODUCTION LICENSE,942,,30676176,42002484,8775,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002484,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002484,02.01.2024,02.01.2024,22.03.2024
ØST FRIGG,Aker BP ASA,Shut down,25/2-1,21.09.1973,North sea,PRODUCTION LICENSE,873,,28973585,43576,353,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43576,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43576,02.01.2024,01.03.2024,22.03.2024
ÅSGARD,Equinor Energy AS,Producing,6507/11-1,10.12.1981,Norwegian sea,BUSINESS ARRANGEMENT AREA,ÅSGARD UNIT,Kristiansund,40564,43765,68,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43765,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43765,02.01.2024,01.03.2024,22.03.2024
AASTA HANSTEEN,Equinor Energy AS,Producing,6707/10-1,23.07.1997,Norwegian sea,PRODUCTION LICENSE,218,Sandnessjøen,22556,23395946,3075,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23395946,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23395946,02.01.2024,01.03.2024,22.03.2024

